,Additions,Deletions,Changes,AmountOfFiles,UserEmail,MessageLength,Timestamp,RepositoryName,RepositoryOwner,RepositoryBranch
0,0,0,0,8,jkpolitz,24,2015-09-08 20:48:45+00:00,programming-assignments,SMUCSE2341,ianjjohnson
0,749,0,749,5,jkpolitz,76,2016-02-25 02:15:33+00:00,programming-assignments,SMUCSE2341,lazysp333
1,6,0,6,1,Data Structures,71,2016-02-14 01:33:53+00:00,programming-assignments,SMUCSE2341,lazysp333
2,0,0,0,1,Data Structures,16,2016-02-14 01:31:13+00:00,programming-assignments,SMUCSE2341,lazysp333
3,334,128,462,5,Data Structures,50,2016-02-14 00:08:40+00:00,programming-assignments,SMUCSE2341,lazysp333
4,537,0,537,6,Data Structures,109,2016-02-09 20:52:26+00:00,programming-assignments,SMUCSE2341,lazysp333
5,561,0,561,6,jkpolitz,76,2016-02-09 20:22:05+00:00,programming-assignments,SMUCSE2341,lazysp333
6,0,15,15,5,Data Structures,103,2016-01-31 01:01:43+00:00,programming-assignments,SMUCSE2341,lazysp333
7,328,89,417,5,Data Structures,128,2016-01-31 00:59:45+00:00,programming-assignments,SMUCSE2341,lazysp333
8,0,15,15,5,Data Structures,22,2016-01-29 21:41:56+00:00,programming-assignments,SMUCSE2341,lazysp333
9,53,2,55,2,Data Structures,77,2016-01-27 23:28:13+00:00,programming-assignments,SMUCSE2341,lazysp333
10,0,73,73,1,Data Structures,103,2016-01-25 23:12:23+00:00,programming-assignments,SMUCSE2341,lazysp333
11,0,73,73,1,Rawhide,17,2016-01-25 23:11:50+00:00,programming-assignments,SMUCSE2341,lazysp333
12,73,0,73,1,Data Structures,103,2016-01-25 23:08:24+00:00,programming-assignments,SMUCSE2341,lazysp333
13,286,0,286,10,Data Structures,107,2016-01-25 23:05:59+00:00,programming-assignments,SMUCSE2341,lazysp333
14,0,20,20,1,Rawhide,16,2016-01-25 22:49:53+00:00,programming-assignments,SMUCSE2341,lazysp333
15,0,13,13,1,Rawhide,16,2016-01-25 22:49:42+00:00,programming-assignments,SMUCSE2341,lazysp333
16,0,23,23,1,Rawhide,16,2016-01-25 22:49:31+00:00,programming-assignments,SMUCSE2341,lazysp333
17,0,12,12,1,Rawhide,25,2016-01-25 21:02:00+00:00,programming-assignments,SMUCSE2341,lazysp333
18,0,11,11,1,Rawhide,25,2016-01-25 21:01:46+00:00,programming-assignments,SMUCSE2341,lazysp333
19,0,0,0,0,Data Structures,103,2016-01-25 20:58:28+00:00,programming-assignments,SMUCSE2341,lazysp333
20,0,0,0,1,Rawhide,20,2016-01-25 20:57:54+00:00,programming-assignments,SMUCSE2341,lazysp333
21,0,1,1,1,Rawhide,20,2016-01-25 20:57:41+00:00,programming-assignments,SMUCSE2341,lazysp333
22,0,44,44,1,Rawhide,20,2016-01-25 20:57:23+00:00,programming-assignments,SMUCSE2341,lazysp333
23,44,0,44,1,Data Structures,103,2016-01-25 20:22:27+00:00,programming-assignments,SMUCSE2341,lazysp333
24,1,0,1,2,Data Structures,11,2016-01-25 20:21:01+00:00,programming-assignments,SMUCSE2341,lazysp333
25,152,0,152,6,Data Structures,107,2016-01-24 22:58:06+00:00,programming-assignments,SMUCSE2341,lazysp333
26,44,0,44,1,jkpolitz,26,2015-09-08 21:06:24+00:00,programming-assignments,SMUCSE2341,lazysp333
27,0,0,0,8,jkpolitz,24,2015-09-08 20:48:45+00:00,programming-assignments,SMUCSE2341,lazysp333
0,196,0,196,1,jkpolitz,76,2016-03-01 23:02:05+00:00,programming-assignments,SMUCSE2341,fontiago
1,329,0,329,3,jkpolitz,76,2016-02-25 01:04:58+00:00,programming-assignments,SMUCSE2341,fontiago
2,1,1,2,1,Data Structures,21,2016-02-18 00:02:08+00:00,programming-assignments,SMUCSE2341,fontiago
3,196,0,196,1,Data Structures,80,2016-02-18 00:00:52+00:00,programming-assignments,SMUCSE2341,fontiago
4,329,0,329,3,Data Structures,26,2016-02-11 23:44:33+00:00,programming-assignments,SMUCSE2341,fontiago
5,182,0,182,1,jkpolitz,76,2016-02-09 18:26:35+00:00,programming-assignments,SMUCSE2341,fontiago
6,56,113,169,1,Data Structures,21,2016-01-29 21:54:23+00:00,programming-assignments,SMUCSE2341,fontiago
7,190,30,220,1,Data Structures,27,2016-01-29 21:11:39+00:00,programming-assignments,SMUCSE2341,fontiago
8,79,0,79,1,Data Structures,41,2016-01-25 20:41:21+00:00,programming-assignments,SMUCSE2341,fontiago
9,0,0,0,8,jkpolitz,24,2015-09-08 20:48:45+00:00,programming-assignments,SMUCSE2341,fontiago
0,482,12,494,7,jkpolitz,76,2016-03-01 23:08:32+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
1,362,0,362,8,jkpolitz,76,2016-02-25 01:58:00+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
2,0,0,0,1,Campbell Konrad,26,2016-02-21 23:31:53+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
3,0,0,0,1,Campbell Konrad,26,2016-02-21 23:31:37+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
4,0,0,0,2,Campbell Konrad,22,2016-02-21 23:31:19+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
5,0,0,0,1,Campbell Konrad,26,2016-02-21 23:30:49+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
6,0,0,0,1,Campbell Konrad,26,2016-02-21 23:30:42+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
7,0,0,0,2,Campbell Konrad,22,2016-02-21 23:30:13+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
8,0,73,73,1,Campbell Konrad,17,2016-02-21 23:10:34+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
9,0,16,16,1,Campbell Konrad,19,2016-02-21 23:10:12+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
10,0,0,0,1,Campbell Konrad,12,2016-02-21 23:10:06+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
11,0,12,12,1,Campbell Konrad,14,2016-02-21 23:10:00+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
12,0,4,4,1,Campbell Konrad,15,2016-02-21 23:09:54+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
13,0,12,12,1,Campbell Konrad,15,2016-02-21 23:09:48+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
14,0,12,12,1,Campbell Konrad,15,2016-02-21 23:09:42+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
15,0,0,0,1,Campbell Konrad,17,2016-02-21 23:09:29+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
16,247,266,513,3,Data Structures,12,2016-02-21 23:08:42+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
17,106,1,107,1,Data Structures,8,2016-02-21 23:01:41+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
18,35,4,39,2,Data Structures,19,2016-02-21 22:47:15+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
19,20,28,48,4,Data Structures,62,2016-02-21 22:27:34+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
20,33,27,60,4,Data Structures,64,2016-02-21 22:00:37+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
21,9,1,10,3,Data Structures,65,2016-02-21 21:44:39+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
22,1,1,2,2,Data Structures,17,2016-02-21 21:39:15+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
23,15,2,17,2,Data Structures,39,2016-02-21 21:35:04+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
24,13,10,23,4,Data Structures,20,2016-02-21 21:09:28+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
25,32,2,34,6,Data Structures,124,2016-02-21 03:03:07+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
26,3,3,6,2,Data Structures,20,2016-02-21 02:27:49+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
27,430,0,430,10,Data Structures,35,2016-02-18 02:54:36+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
28,0,16,16,1,Campbell Konrad,25,2016-02-15 07:36:21+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
29,0,0,0,1,Campbell Konrad,12,2016-02-15 07:36:11+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
0,342,0,342,4,jkpolitz,76,2016-03-01 23:11:39+00:00,programming-assignments,SMUCSE2341,candiceglee
1,270,0,270,3,jkpolitz,76,2016-02-25 02:04:08+00:00,programming-assignments,SMUCSE2341,candiceglee
2,266,0,266,1,candiceglee,21,2016-02-21 21:30:56+00:00,programming-assignments,SMUCSE2341,candiceglee
3,24,0,24,1,candiceglee,15,2016-02-21 21:30:07+00:00,programming-assignments,SMUCSE2341,candiceglee
4,1,1,2,1,candiceglee,21,2016-02-21 21:28:56+00:00,programming-assignments,SMUCSE2341,candiceglee
5,34,0,34,1,candiceglee,19,2016-02-21 21:28:46+00:00,programming-assignments,SMUCSE2341,candiceglee
6,18,0,18,1,candiceglee,21,2016-02-21 21:27:42+00:00,programming-assignments,SMUCSE2341,candiceglee
7,67,58,125,1,candiceglee,22,2016-02-17 06:41:24+00:00,programming-assignments,SMUCSE2341,candiceglee
8,11,11,22,1,candiceglee,20,2016-02-17 06:13:30+00:00,programming-assignments,SMUCSE2341,candiceglee
